"analysis_name","category","group_a","group_b","group_a_n","group_b_n","category_total_n","group_a_pct","group_b_pct","group_a_minus_group_b_percentage_points","within_category_group_a_rate_pct","expected_group_a_n_under_independence","expected_group_b_n_under_independence","observed_minus_expected_group_a_n","observed_to_expected_group_a_ratio","chi_square_statistic","degrees_of_freedom","cramers_v","concentration_band","minimum_expected_cell_count","expected_cells_below_5_n","expected_cells_below_1_n","sparse_cell_warning","reproduction_pass","row_order_invariance_pass"
"icb","NHS Kent and Medway Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",51,6,57,3.50274725274725,0.383631713554987,3.11911553919227,89.4736842105263,27.4807947019868,29.5192052980132,23.5192052980132,1.85584152689416,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Lancashire and South Cumbria Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,119,119,0,7.60869565217391,-7.60869565217391,0,57.3721854304636,61.6278145695364,-57.3721854304636,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Leicester, Leicestershire and Rutland Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,57,57,0,3.64450127877238,-3.64450127877238,0,27.4807947019868,29.5192052980132,-27.4807947019868,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Lincolnshire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,26,26,0,1.66240409207161,-1.66240409207161,0,12.5350993377483,13.4649006622517,-12.5350993377483,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Mid and South Essex Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",47,26,73,3.22802197802198,1.66240409207161,1.56561788595037,64.3835616438356,35.194701986755,37.805298013245,11.805298013245,1.33542827035978,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Norfolk and Waveney Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",14,1,15,0.961538461538462,0.0639386189258312,0.89759984261263,93.3333333333333,7.2317880794702,7.7682119205298,6.7682119205298,1.93589743589744,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS North Central London Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",85,44,129,5.83791208791209,2.81329923273657,3.02461285517551,65.8914728682171,62.1933774834437,66.8066225165563,22.8066225165563,1.36670500042593,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS North East and North Cumbria Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",86,22,108,5.90659340659341,1.40664961636829,4.49994379022512,79.6296296296296,52.0688741721854,55.9311258278146,33.9311258278146,1.65165852665853,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS North East London Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",136,41,177,9.34065934065934,2.62148337595908,6.71917596470026,76.8361581920904,85.3350993377483,91.6649006622517,50.6649006622517,1.59371701744583,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS North West London Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",150,84,234,10.3021978021978,5.37084398976982,4.93135381242798,64.1025641025641,112.815894039735,121.184105960265,37.1841059602649,1.3295998872922,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Northamptonshire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,44,44,0,2.81329923273657,-2.81329923273657,0,21.2132450331126,22.7867549668874,-21.2132450331126,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Nottingham and Nottinghamshire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,85,85,0,5.43478260869565,-5.43478260869565,0,40.9801324503311,44.0198675496689,-40.9801324503311,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Shropshire, Telford and Wrekin Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,20,20,0,1.27877237851662,-1.27877237851662,0,9.64238410596026,10.3576158940397,-9.64238410596026,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
