"analysis_name","category","group_a","group_b","group_a_n","group_b_n","category_total_n","group_a_pct","group_b_pct","group_a_minus_group_b_percentage_points","within_category_group_a_rate_pct","expected_group_a_n_under_independence","expected_group_b_n_under_independence","observed_minus_expected_group_a_n","observed_to_expected_group_a_ratio","chi_square_statistic","degrees_of_freedom","cramers_v","concentration_band","minimum_expected_cell_count","expected_cells_below_5_n","expected_cells_below_1_n","sparse_cell_warning","reproduction_pass","row_order_invariance_pass"
"icb","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",67,16,83,2.21854304635762,0.525106662290778,1.69343638406684,80.7228915662651,41.3153123454755,41.6846876545245,25.6846876545245,1.62167477858454,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Birmingham and Solihull Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",33,141,174,1.09271523178808,4.62750246143748,-3.5347872296494,18.9655172413793,86.6128234712378,87.3871765287622,-53.6128234712378,0.381005937428637,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Black Country Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",52,116,168,1.72185430463576,3.80702330160814,-2.08516899697238,30.952380952381,83.6261743860227,84.3738256139773,-31.6261743860227,0.621814884894355,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",52,18,70,1.72185430463576,0.590744995077125,1.13110930955864,74.2857142857143,34.8442393275095,35.1557606724905,17.1557606724905,1.49235572374645,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",118,32,150,3.90728476821192,1.05021332458156,2.85707144363036,78.6666666666667,74.6662271303775,75.3337728696225,43.3337728696225,1.58036644591611,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Cambridgeshire and Peterborough Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",21,64,85,0.695364238410596,2.10042664916311,-1.40506241075252,24.7058823529412,42.3108620405472,42.6891379594528,-21.3108620405472,0.496326451110245,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Cheshire and Merseyside Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",96,234,330,3.17880794701987,7.67968493600263,-4.50087698898276,29.0909090909091,164.26569968683,165.73430031317,-68.2656996868304,0.584419024683925,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Cornwall and the Isles of Scilly Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",18,36,54,0.596026490066225,1.18148999015425,-0.585463500088025,33.3333333333333,26.8798417669359,27.1201582330641,-8.87984176693588,0.669646799116998,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Coventry and Warwickshire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",92,26,118,3.04635761589404,0.853298326222514,2.19305928967153,77.9661016949153,58.7374320092303,59.2625679907697,33.2625679907697,1.56629251318891,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Derby and Derbyshire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",23,85,108,0.76158940397351,2.78962914341976,-2.02803973944625,21.2962962962963,53.7596835338718,54.2403164661282,-30.7596835338718,0.42782989943586,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Devon Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",38,73,111,1.25827814569536,2.39579914670167,-1.13752100100631,34.2342342342342,55.2530080764793,55.7469919235207,-17.2530080764793,0.687745361255295,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Dorset Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",18,49,67,0.596026490066225,1.60813915326551,-1.01211266319928,26.865671641791,33.3509147849019,33.6490852150981,-15.3509147849019,0.53971533063161,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
